,0
Désignation, LDLC PC ATOMIZER
Marque, LDLCLDLC
Modèle, PC ATOMIZER
Système d'exploitation, Sans OS
Système d'exploitation fourni, Non
Plateforme (Proc.), Intel Coffee Lake R
Type de processeur, Intel Core i9-9900KF (8-Core 3.6GHz / 5GHz Turbo - Cache 16Mo - TDP-95W)
Processeur, Intel Core i9
Fréquence CPU, 3.6GHz
Chipset, Intel Z390Express
Taille de la mémoire, 16Go
Type de mémoire, DDR4
Fréquence(s) Mémoire, DDR4 3000MHz
Capacité maximale de RAM par slot, 16Go
Capacité maximale de RAM, 64Go
Configuration disque(s), SSD-480Go + HDD-2To
Disque dur, SSD-480Go
Disque secondaire, HDD-2To
Type de Disque Système, SSD (Solid State Drive)
Interface avec l'ordinateur disque dur système, M.2 - PCI-E NVMe
Vitesse de rotation, 7200RPM
Lecteur Optique, Aucun
Lecteur de disquettes, Non
Chipset graphique, NVIDIA GeForce RTX-2070SUPER
Taille mémoire vidéo, 8Go
VR Ready (réalité virtuelle), Oui
Sans-fil, Oui
Nombre de ports/Contrôleur Ethernet, Intel I219-V
Norme(s) réseau," 10/100/1000Mbps,  Wi-Fi AC"
Norme(s) réseau sans-fil, Wi-Fi AC
Connecteurs panneau avant," Casque (Jack 3.5mm Femelle),  Micro (Jack3.5mm Femelle),  2xUSB-3.0"
Connecteurs panneau arrière," 2xSMA Femelle,  5xJack 3,5mm Femelle Stéréo,  1xAudio numérique S/PDIF Optique,  1xMiniDin 6Femelle (PS/2),  1xRJ45Femelle,  2xUSB-2.0,  2xUSB-3.0,  1xUSB-3.1,  1xUSB-3.1Type C,  DisplayPort Femelle,  HDMI Femelle"
Clavier et souris fournis, Non
Format de PC, Tour
Format du boitier, Moyen Tour
Puissance, 750W
Monté, Oui
Technologie Intel vPro, Non
Garantie légale, Voir les modalités
